Overriding: compile = False
Overriding: batch_size = 6
tokens per iteration will be: 245,760
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
iter 85: loss 8.3564, time 9733.46ms, mfu 6.90%
iter 86: loss 8.3790, time 9706.14ms, mfu 6.91%
iter 87: loss 8.3275, time 9717.00ms, mfu 6.91%
iter 88: loss 8.2624, time 9628.27ms, mfu 6.92%
iter 89: loss 8.3685, time 9765.95ms, mfu 6.92%
iter 90: loss 8.2769, time 9761.57ms, mfu 6.91%
iter 91: loss 8.3789, time 9666.78ms, mfu 6.92%
iter 92: loss 8.1300, time 9726.56ms, mfu 6.92%
iter 93: loss 7.9328, time 9775.08ms, mfu 6.92%
iter 94: loss 8.1136, time 9756.12ms, mfu 6.91%
iter 95: loss 8.0557, time 9947.06ms, mfu 6.90%
iter 96: loss 8.2260, time 9747.14ms, mfu 6.90%
iter 97: loss 7.9969, time 9834.92ms, mfu 6.90%
iter 98: loss 8.2276, time 9774.87ms, mfu 6.89%
iter 99: loss 8.0655, time 9943.95ms, mfu 6.88%
iter 100: loss 7.9364, time 9695.35ms, mfu 6.89%
iter 101: loss 8.1074, time 9661.47ms, mfu 6.90%
iter 102: loss 8.0115, time 9727.96ms, mfu 6.90%
iter 103: loss 7.8891, time 9698.97ms, mfu 6.90%
iter 104: loss 7.7695, time 9759.68ms, mfu 6.90%
iter 105: loss 8.0063, time 11372.23ms, mfu 6.80%
iter 106: loss 7.6819, time 12636.25ms, mfu 6.66%
iter 107: loss 7.9055, time 12858.45ms, mfu 6.51%
iter 108: loss 7.6640, time 11081.05ms, mfu 6.47%
iter 109: loss 7.7395, time 9732.10ms, mfu 6.52%
iter 110: loss 7.7410, time 9742.12ms, mfu 6.56%
iter 111: loss 7.7465, time 9779.16ms, mfu 6.59%
iter 112: loss 7.9334, time 9684.40ms, mfu 6.62%
iter 113: loss 7.8196, time 9742.01ms, mfu 6.65%
iter 114: loss 7.5209, time 9728.21ms, mfu 6.68%
iter 115: loss 7.8426, time 9727.01ms, mfu 6.70%
iter 116: loss 7.6029, time 9667.26ms, mfu 6.73%
iter 117: loss 7.6986, time 9745.86ms, mfu 6.75%
iter 118: loss 7.5545, time 9690.28ms, mfu 6.77%
iter 119: loss 7.5602, time 9718.62ms, mfu 6.78%
iter 120: loss 7.8199, time 9630.80ms, mfu 6.80%
iter 121: loss 7.6016, time 9720.64ms, mfu 6.82%
iter 122: loss 7.6505, time 9835.79ms, mfu 6.82%
iter 123: loss 7.4066, time 9678.85ms, mfu 6.83%
iter 124: loss 7.4846, time 10029.74ms, mfu 6.82%
iter 125: loss 7.7369, time 9956.94ms, mfu 6.82%
iter 126: loss 7.4452, time 10203.57ms, mfu 6.79%
iter 127: loss 7.5081, time 9801.20ms, mfu 6.80%
iter 128: loss 7.4364, time 9816.66ms, mfu 6.81%
